Time,Channel,OrigBytes,CompressedBytes,SentBytes
2021-06-07 07:20:02.337981,1013,3891328,634056,634056
2021-06-07 07:20:02.337993,1,22692610,4177649,4177649
2021-06-07 07:20:02.338005,1032,8915683,643868,643868
2021-06-07 07:20:02.338018,1031,8951796,645398,645398
2021-06-07 07:20:02.338030,1021,683160,128846,128846
2021-06-07 07:20:02.338043,10001,4410390,431160,431160
2021-06-07 07:20:02.338064,0,0,0,12291709
2021-06-07 07:23:02.415775,1044,3720,10540,10540
2021-06-07 07:23:02.415789,1043,3720,10540,10540
2021-06-07 07:23:02.415802,1042,3720,10540,10540
2021-06-07 07:23:02.415815,1014,4168861,676282,676282
2021-06-07 07:23:02.415827,1011,4292269,692259,692259
2021-06-07 07:23:02.415840,1022,768251,139526,139526
2021-06-07 07:23:02.415853,1061,67591,25245,25245
2021-06-07 07:23:02.415866,1012,4299125,694831,694831
2021-06-07 07:23:02.415878,1023,808131,146540,146540
2021-06-07 07:23:02.415891,5001,5150328,438126,438126
2021-06-07 07:23:02.415906,10,1220039,192223,192223
2021-06-07 07:23:02.415918,1034,9641947,691746,691746
2021-06-07 07:23:02.415931,1033,9686659,703784,703784
2021-06-07 07:23:02.415943,1041,3720,10540,10540
2021-06-07 07:23:02.415956,3011,6045,12865,12865
2021-06-07 07:23:02.415968,3001,8370,14075,14075
2021-06-07 07:23:02.415981,2,4968,6785,6785
2021-06-07 07:23:02.415993,1051,6278919,1401788,1401788
2021-06-07 07:23:02.416006,1024,920749,162496,162496
2021-06-07 07:23:02.416018,4001,16940,50820,50820
2021-06-07 07:23:02.416031,1013,4210037,685960,685960
2021-06-07 07:23:02.416045,1,24583415,4512060,4512060
2021-06-07 07:23:02.416058,1032,9647551,695834,695834
2021-06-07 07:23:02.416070,1031,9686649,698695,698695
2021-06-07 07:23:02.416083,1021,739107,139146,139146
2021-06-07 07:23:02.416096,10001,4758915,465495,465495
2021-06-07 07:23:02.416117,0,0,0,13288741
2021-06-07 07:26:02.496418,1044,4008,11356,11356
2021-06-07 07:26:02.496432,1043,4008,11356,11356
2021-06-07 07:26:02.496445,1042,4008,11356,11356
2021-06-07 07:26:02.496457,1014,4484458,727804,727804
2021-06-07 07:26:02.496471,1011,4617204,744857,744857
2021-06-07 07:26:02.496484,1022,826415,150250,150250
2021-06-07 07:26:02.496496,1061,72742,27293,27293
2021-06-07 07:26:02.496509,1012,4624585,747824,747824
2021-06-07 07:26:02.496522,1023,869315,157802,157802
2021-06-07 07:26:02.496534,5001,5546535,470729,470729
2021-06-07 07:26:02.496547,10,1313790,205800,205800
2021-06-07 07:26:02.496559,1034,10373408,744574,744574
2021-06-07 07:26:02.496571,1033,10421500,756804,756804
2021-06-07 07:26:02.496583,1041,4008,11356,11356
2021-06-07 07:26:02.496596,3011,6513,13861,13861
2021-06-07 07:26:02.496610,3001,9018,15163,15163
2021-06-07 07:26:02.496622,2,5400,7373,7373
2021-06-07 07:26:02.496634,1051,6768153,1509560,1509560
2021-06-07 07:26:02.496647,1024,990445,174897,174897
2021-06-07 07:26:02.496659,4001,18260,54780,54780
2021-06-07 07:26:02.496672,1013,4528744,737829,737829
2021-06-07 07:26:02.496684,1,26473972,4835378,4835378
2021-06-07 07:26:02.496696,1032,10379431,748637,748637
2021-06-07 07:26:02.496709,1031,10421486,751068,751068
2021-06-07 07:26:02.496721,1021,795062,149855,149855
2021-06-07 07:26:02.496733,10001,5107440,499830,499830
2021-06-07 07:26:02.496756,0,0,0,14277392
2021-06-07 07:29:02.578013,1044,4296,12172,12172
2021-06-07 07:29:02.578028,1043,4296,12172,12172
2021-06-07 07:29:02.578040,1042,4296,12172,12172
2021-06-07 07:29:02.578053,1014,4800049,778954,778954
2021-06-07 07:29:02.578066,1011,4942139,797425,797425
2021-06-07 07:29:02.578078,1022,884579,160964,160964
2021-06-07 07:29:02.578091,1061,77893,29341,29341
2021-06-07 07:29:02.578105,1012,4950039,800549,800549
2021-06-07 07:29:02.578118,1023,930497,168985,168985
2021-06-07 07:29:02.578130,5001,5942751,506808,506808
2021-06-07 07:29:02.578142,10,1407579,221474,221474
2021-06-07 07:29:02.578155,1034,11104861,796802,796802
2021-06-07 07:29:02.578167,1033,11156335,809414,809414
2021-06-07 07:29:02.578180,1041,4296,12172,12172
2021-06-07 07:29:02.578195,3011,6981,14857,14857
2021-06-07 07:29:02.578208,3001,9666,16250,16250
2021-06-07 07:29:02.578220,2,5760,7864,7864
2021-06-07 07:29:02.578233,1051,7257361,1615915,1615915
2021-06-07 07:29:02.578248,1024,1060141,187314,187314
2021-06-07 07:29:02.578261,4001,19580,58740,58740
2021-06-07 07:29:02.578273,1013,4847449,789493,789493
2021-06-07 07:29:02.578286,1,28364715,5168840,5168840
2021-06-07 07:29:02.578298,1032,11111325,802297,802297
2021-06-07 07:29:02.578311,1031,11156341,804598,804598
2021-06-07 07:29:02.578323,1021,851015,160488,160488
2021-06-07 07:29:02.578335,10001,5455965,534165,534165
2021-06-07 07:29:02.578357,0,0,0,15280225
2021-06-07 07:32:02.657969,1044,4584,12988,12988
2021-06-07 07:32:02.657983,1043,4584,12988,12988
2021-06-07 07:32:02.657996,1042,4584,12988,12988
2021-06-07 07:32:02.658009,1014,5115644,830371,830371
2021-06-07 07:32:02.658022,1011,5267072,849838,849838
2021-06-07 07:32:02.658035,1022,942741,171551,171551
2021-06-07 07:32:02.658048,1061,83042,31284,31284
2021-06-07 07:32:02.658060,1012,5275491,853174,853174
2021-06-07 07:32:02.658072,1023,991681,180255,180255
2021-06-07 07:32:02.658085,5001,6338969,542992,542992
2021-06-07 07:32:02.658099,10,1501336,235344,235344
2021-06-07 07:32:02.658112,1034,11836320,849369,849369
2021-06-07 07:32:02.658124,1033,11891172,862103,862103
2021-06-07 07:32:02.658137,1041,4584,12988,12988
2021-06-07 07:32:02.658149,3011,7449,15853,15853
2021-06-07 07:32:02.658161,3001,10314,17339,17339
2021-06-07 07:32:02.658174,2,6192,8454,8454
2021-06-07 07:32:02.658190,1051,7746565,1722077,1722077
2021-06-07 07:32:02.658202,1024,1129833,199478,199478
2021-06-07 07:32:02.658215,4001,20900,62700,62700
2021-06-07 07:32:02.658227,1013,5166158,841349,841349
2021-06-07 07:32:02.658243,1,30255322,5494008,5494008
2021-06-07 07:32:02.658256,1032,11843213,855450,855450
2021-06-07 07:32:02.658268,1031,11891190,857661,857661
2021-06-07 07:32:02.658280,1021,906968,171136,171136
2021-06-07 07:32:02.658293,10001,5804490,568500,568500
2021-06-07 07:32:02.658314,0,0,0,16272238
2021-06-07 07:35:02.739606,1044,4872,13804,13804
2021-06-07 07:35:02.739623,1043,4872,13804,13804
2021-06-07 07:35:02.739636,1042,4872,13804,13804
2021-06-07 07:35:02.739648,1014,5431235,881527,881527
2021-06-07 07:35:02.739662,1011,5592007,902419,902419
2021-06-07 07:35:02.739674,1022,1000903,182145,182145
2021-06-07 07:35:02.739687,1061,88191,33233,33233
2021-06-07 07:35:02.739699,1012,5600947,905986,905986
2021-06-07 07:35:02.739712,1023,1052865,191466,191466
2021-06-07 07:35:02.739724,5001,6735169,577841,577841
2021-06-07 07:35:02.739736,10,1595107,250083,250083
2021-06-07 07:35:02.739749,1034,12567787,902517,902517
2021-06-07 07:35:02.739763,1033,12626003,914574,914574
2021-06-07 07:35:02.739776,1041,4872,13804,13804
2021-06-07 07:35:02.739789,3011,7917,16849,16849
2021-06-07 07:35:02.739801,3001,10962,18427,18427
2021-06-07 07:35:02.739813,2,6552,8943,8943
2021-06-07 07:35:02.739826,1051,8235721,1825730,1825730
2021-06-07 07:35:02.739839,1024,1199529,211880,211880
2021-06-07 07:35:02.739851,4001,22220,66660,66660
2021-06-07 07:35:02.739863,1013,5484867,893208,893208
2021-06-07 07:35:02.739875,1,32146081,5828447,5828447
2021-06-07 07:35:02.739890,1032,12575097,908421,908421
2021-06-07 07:35:02.739902,1031,12626033,910391,910391
2021-06-07 07:35:02.739915,1021,962923,181902,181902
2021-06-07 07:35:02.739927,10001,6153015,602835,602835
2021-06-07 07:35:02.739948,0,0,0,17270700
2021-06-07 07:38:02.824044,1044,5160,14620,14620
2021-06-07 07:38:02.824058,1043,5160,14620,14620
2021-06-07 07:38:02.824073,1042,5160,14620,14620
2021-06-07 07:38:02.824085,1014,5746826,932629,932629
2021-06-07 07:38:02.824098,1011,5916944,955049,955049
2021-06-07 07:38:02.824110,1022,1059067,192837,192837
2021-06-07 07:38:02.824123,1061,93338,35057,35057
2021-06-07 07:38:02.824135,1012,5926401,958639,958639
2021-06-07 07:38:02.824147,1023,1114045,202501,202501
2021-06-07 07:38:02.824159,5001,7131351,611338,611338
2021-06-07 07:38:02.824172,10,1688902,266076,266076
2021-06-07 07:38:02.824188,1034,13299266,956214,956214
2021-06-07 07:38:02.824202,1033,13360850,967775,967775
2021-06-07 07:38:02.824215,1041,5160,14620,14620
2021-06-07 07:38:02.824227,3011,8385,17845,17845
2021-06-07 07:38:02.824240,3001,11610,19515,19515
2021-06-07 07:38:02.824252,2,6984,9531,9531
2021-06-07 07:38:02.824264,1051,8724965,1933899,1933899
2021-06-07 07:38:02.824277,1024,1269225,224290,224290
2021-06-07 07:38:02.824289,4001,23540,70620,70620
2021-06-07 07:38:02.824302,1013,5803576,945152,945152
2021-06-07 07:38:02.824314,1,34036812,6161346,6161346
2021-06-07 07:38:02.824326,1032,13306963,960220,960220
2021-06-07 07:38:02.824340,1031,13360892,963984,963984
2021-06-07 07:38:02.824353,1021,1018876,192529,192529
2021-06-07 07:38:02.824365,10001,6501540,637170,637170
2021-06-07 07:38:02.824386,0,0,0,18272696
2021-06-07 07:41:02.907728,1044,5448,15436,15436
2021-06-07 07:41:02.907742,1043,5448,15436,15436
2021-06-07 07:41:02.907756,1042,5448,15436,15436
2021-06-07 07:41:02.907769,1014,6062419,983900,983900
